,region,country_year,total_pageviews,population
0,Europe,Albania 2017,11847,2880321.0
1,Europe,Albania 2018,20783,2878389.0
2,Europe,Albania 2019,20322,2875637.0
3,Europe,Albania 2020,51598,2872130.0
4,Europe,Albania 2021,81735,2861567.0
5,Europe,Albania 2022,35385,2847853.0
6,Africa,Algeria 2017,219658,40738828.0
7,Africa,Algeria 2018,215867,41534264.0
8,Africa,Algeria 2019,128254,42319750.0
9,Africa,Algeria 2020,81460,43090987.0
10,Africa,Algeria 2021,102947,43812345.0
11,Africa,Algeria 2022,62774,44543592.0
12,Oceania,American Samoa 2017,3573,49965.0
13,Europe,Andorra 2017,4023,73312.0
14,Africa,Angola 2017,1526,29678369.0
15,Africa,Angola 2018,1697,30738887.0
16,Africa,Angola 2022,1690,35049572.0
17,Americas,Anguilla 2021,457,15675.0
18,Americas,Antigua and Barbuda 2018,531,91395.0
19,Americas,Argentina 2017,997950,43864639.0
20,Americas,Argentina 2018,797888,44244593.0
21,Americas,Argentina 2019,1151407,44582599.0
22,Americas,Argentina 2020,570665,44908441.0
23,Americas,Argentina 2021,128014,45163623.0
24,Americas,Argentina 2022,367433,45389937.0
25,Asia,Armenia 2017,4280,2859439.0
26,Asia,Armenia 2018,1063,2844407.0
27,Asia,Armenia 2019,776,2828707.0
28,Asia,Armenia 2021,2254,2798721.0
29,Asia,Armenia 2022,2892,2783226.0
30,Americas,Aruba 2017,3902,105171.0
31,Oceania,Australia 2017,268908,24392368.0
32,Oceania,Australia 2018,230038,24788299.0
33,Oceania,Australia 2019,961010,25170161.0
34,Oceania,Australia 2020,750373,25544179.0
35,Oceania,Australia 2021,517513,25795922.0
36,Oceania,Australia 2022,426890,26046256.0
37,Europe,Austria 2017,42052,8772740.0
38,Europe,Austria 2018,37557,8822252.0
39,Europe,Austria 2019,343616,8858773.0
40,Europe,Austria 2020,87495,8901106.0
41,Europe,Austria 2021,1259383,8914448.0
42,Europe,Austria 2022,80765,8929716.0
43,Americas,Barbados 2017,7617,278929.0
44,Americas,Barbados 2018,2339,279445.0
45,Europe,Belgium 2017,27165,11351651.0
46,Europe,Belgium 2018,4535,11417328.0
47,Europe,Belgium 2019,252944,11479863.0
48,Europe,Belgium 2020,30414,11541273.0
49,Europe,Belgium 2021,47544,11582160.0
50,Europe,Belgium 2022,29842,11640679.0
51,Americas,Belize 2017,480,371019.0
52,Americas,Belize 2021,1206,397415.0
53,Africa,Benin 2017,528,11426259.0
54,Africa,Benin 2022,653,13174363.0
55,Asia,Bhutan 2022,466,779965.0
56,Americas,Bolivia 2017,7304,11349540.0
57,Americas,Bolivia 2018,774,11521527.0
58,Americas,Bolivia 2019,3146,11692283.0
59,Americas,Bolivia 2022,11171,12148966.0
60,Americas,"Bonaire, Saint Eustatius and Saba 2019",451,25278.0
61,Europe,Bosnia and Herzegovina 2017,844,3460245.0
62,Europe,Bosnia and Herzegovina 2019,1912,3380449.0
63,Europe,Bosnia and Herzegovina 2020,1649,3340974.0
64,Europe,Bosnia and Herzegovina 2022,4385,3246045.0
65,Africa,Botswana 2021,552,2569263.0
66,Americas,Brazil 2017,2712547,207677556.0
67,Americas,Brazil 2018,2984841,209332364.0
68,Americas,Brazil 2019,4058600,211000821.0
69,Americas,Brazil 2020,2204963,212564935.0
70,Americas,Brazil 2021,786718,213827672.0
71,Americas,Brazil 2022,2855191,214824774.0
72,Europe,Bulgaria 2017,2816,7214825.0
73,Europe,Bulgaria 2018,11697,7150032.0
74,Europe,Bulgaria 2019,55264,7084829.0
75,Europe,Bulgaria 2020,55976,7020235.0
76,Europe,Bulgaria 2021,57100,6938114.0
77,Europe,Bulgaria 2022,80959,6833621.0
78,Africa,Burkina Faso 2017,3543,19557656.0
79,Africa,Burkina Faso 2021,538,21813359.0
80,Africa,Burundi 2017,557,11020020.0
81,Asia,Cambodia 2017,636,15730112.0
82,Asia,Cambodia 2018,2373,15931265.0
83,Asia,Cambodia 2019,716,16119212.0
84,Asia,Cambodia 2022,3282,16680606.0
85,Africa,Cameroon 2017,5132,24060423.0
86,Africa,Cameroon 2020,1191,26137129.0
87,Africa,Cameroon 2021,522,26845044.0
88,Africa,Cameroon 2022,919,27552212.0
89,Americas,Canada 2017,473272,36325124.0
90,Americas,Canada 2018,140028,36783571.0
91,Americas,Canada 2019,1289993,37286937.0
92,Americas,Canada 2020,729125,37758232.0
93,Americas,Canada 2021,840244,38019178.0
94,Americas,Canada 2022,765059,38290846.0
95,Africa,Central African Republic 2020,498,5272026.0
96,Americas,Chile 2017,45352,18206536.0
97,Americas,Chile 2018,28859,18530618.0
98,Americas,Chile 2019,269672,18872283.0
99,Americas,Chile 2020,51644,19206688.0
100,Americas,Chile 2021,44944,19393941.0
101,Americas,Chile 2022,164104,19592428.0
102,Americas,Colombia 2017,1451770,47907203.0
103,Americas,Colombia 2018,1254605,48796138.0
104,Americas,Colombia 2019,1015444,49757785.0
105,Americas,Colombia 2020,734304,50617028.0
106,Americas,Colombia 2021,198335,51244297.0
107,Americas,Colombia 2022,473218,51788827.0
108,Americas,Costa Rica 2017,2686,4969919.0
109,Americas,Costa Rica 2018,551,5017764.0
110,Americas,Costa Rica 2019,9261,5063704.0
111,Americas,Costa Rica 2020,15936,5105359.0
112,Americas,Costa Rica 2021,4492,5140851.0
113,Americas,Costa Rica 2022,10304,5167063.0
114,Africa,Cote d'Ivoire 2017,1996,24525582.0
115,Africa,Cote d'Ivoire 2019,1606,25817528.0
116,Africa,Cote d'Ivoire 2022,1879,27810491.0
117,Europe,Croatia 2017,82128,4208827.0
118,Europe,Croatia 2018,1524,4176106.0
119,Europe,Croatia 2019,13736,4144863.0
120,Europe,Croatia 2020,8894,4114639.0
121,Europe,Croatia 2021,8353,4079100.0
122,Europe,Croatia 2022,14971,4041171.0
123,Asia,Cyprus 2017,1043,1203279.0
124,Asia,Cyprus 2018,476,1213767.0
125,Asia,Cyprus 2019,1034,1223895.0
126,Asia,Cyprus 2020,511,1233778.0
127,Asia,Cyprus 2021,4314,1241296.0
128,Asia,Cyprus 2022,2660,1247080.0
129,Europe,Czech Republic 2017,41929,10529255.0
130,Europe,Czech Republic 2018,21304,10533355.0
131,Europe,Czech Republic 2019,170033,10535831.0
132,Europe,Czech Republic 2020,341362,10537911.0
133,Europe,Czech Republic 2021,209085,10523996.0
134,Europe,Czech Republic 2022,101405,10497505.0
135,Africa,Democratic Republic of the Congo 2021,6982,94374379.0
136,Europe,Denmark 2017,17157,5722175.0
137,Europe,Denmark 2018,19023,5752394.0
138,Europe,Denmark 2019,250345,5780978.0
139,Europe,Denmark 2020,44007,5810778.0
140,Europe,Denmark 2021,10110,5840504.0
141,Europe,Denmark 2022,24267,5867977.0
142,Americas,Dominica 2017,4258,70253.0
143,Americas,Dominica 2018,456,70553.0
144,Americas,Dominica 2020,452,71764.0
145,Americas,Dominican Republic 2017,172106,10587845.0
146,Americas,Dominican Republic 2018,203345,10706643.0
147,Americas,Dominican Republic 2019,101193,10824418.0
148,Americas,Dominican Republic 2020,18312,10939347.0
149,Americas,Dominican Republic 2021,27118,11059980.0
150,Americas,Dominican Republic 2022,41365,11175767.0
151,Americas,Ecuador 2017,49179,16562863.0
152,Americas,Ecuador 2018,48152,16831025.0
153,Americas,Ecuador 2019,51136,17200318.0
154,Americas,Ecuador 2020,196652,17487163.0
155,Americas,Ecuador 2021,108045,17690028.0
156,Americas,Ecuador 2022,37920,17905446.0
157,Americas,El Salvador 2018,798,6273173.0
158,Americas,El Salvador 2019,954,6279512.0
159,Americas,El Salvador 2020,8094,6280922.0
160,Americas,El Salvador 2021,1487,6304540.0
161,Americas,El Salvador 2022,543,6323795.0
162,Europe,Estonia 2019,3666,1324991.0
163,Europe,Estonia 2020,17699,1329086.0
164,Europe,Estonia 2021,3337,1329802.0
165,Europe,Estonia 2022,3075,1327600.0
166,Africa,Eswatini 2017,3742,1146930.0
167,Americas,Falkland Islands 2017,454,3569.0
168,Americas,Falkland Islands 2021,450,3757.0
169,Europe,Faroe Islands 2019,465,51314.0
170,Europe,Faroe Islands 2022,521,52995.0
171,Oceania,Fiji 2017,723,918883.0
172,Europe,Finland 2017,48806,5503215.0
173,Europe,Finland 2018,47351,5513064.0
174,Europe,Finland 2019,164910,5517858.0
175,Europe,Finland 2020,79823,5525215.0
176,Europe,Finland 2021,128376,5533721.0
177,Europe,Finland 2022,62219,5538263.0
178,Europe,France 2017,1470360,64074315.0
179,Europe,France 2018,1447746,64213858.0
180,Europe,France 2019,2856523,64341757.0
181,Europe,France 2020,2163888,64457760.0
182,Europe,France 2021,1811500,64502346.0
183,Europe,France 2022,1753354,64560542.0
184,Oceania,French Polynesia 2020,466,300742.0
185,Asia,Georgia 2019,2168,3772438.0
186,Asia,Georgia 2020,3834,3769183.0
187,Asia,Georgia 2021,6318,3762641.0
188,Asia,Georgia 2022,24011,3753319.0
189,Europe,Germany 2017,5553449,82483984.0
190,Europe,Germany 2018,5586524,82764764.0
191,Europe,Germany 2019,12238749,83028627.0
192,Europe,Germany 2020,7292173,83267655.0
193,Europe,Germany 2021,7192428,83390320.0
194,Europe,Germany 2022,7047648,83426789.0
195,Africa,Ghana 2017,1785,29898576.0
196,Africa,Ghana 2019,456,31195334.0
197,Africa,Ghana 2020,986,31849246.0
198,Africa,Ghana 2021,2512,32511557.0
199,Africa,Ghana 2022,1674,33154506.0
200,Europe,Greece 2017,34926,10722618.0
201,Europe,Greece 2018,24647,10661839.0
202,Europe,Greece 2019,79551,10604702.0
203,Europe,Greece 2020,27847,10543346.0
204,Europe,Greece 2021,39877,10481118.0
205,Europe,Greece 2022,82965,10409612.0
206,Americas,Guadeloupe 2020,497,395099.0
207,Oceania,Guam 2020,451,168576.0
208,Americas,Guatemala 2017,71454,16438598.0
209,Americas,Guatemala 2018,79759,16718848.0
210,Americas,Guatemala 2019,95662,16981503.0
211,Americas,Guatemala 2020,20696,17231172.0
212,Americas,Guatemala 2021,1013,17494265.0
213,Americas,Guatemala 2022,13606,17722702.0
214,Europe,Guernsey 2017,3551,61524.0
215,Africa,Guinea 2017,1007,12085339.0
216,Africa,Guinea 2018,474,12396238.0
217,Africa,Guinea 2022,702,13695093.0
218,Americas,Guyana 2019,485,805664.0
219,Americas,Guyana 2021,534,802562.0
220,Americas,Haiti 2017,456,10788613.0
221,Americas,Haiti 2018,2157,10938474.0
222,Americas,Haiti 2021,76190,11379095.0
223,Asia,Hong Kong 2017,32383,7450263.0
224,Asia,Hong Kong 2018,19625,7472774.0
225,Asia,Hong Kong 2019,50295,7490336.0
226,Asia,Hong Kong 2020,76985,7501907.0
227,Asia,Hong Kong 2021,85985,7500008.0
228,Asia,Hong Kong 2022,142353,7489149.0
229,Europe,Hungary 2017,20719,9798638.0
230,Europe,Hungary 2018,7895,9779244.0
231,Europe,Hungary 2019,56371,9773471.0
232,Europe,Hungary 2020,334043,9770120.0
233,Europe,Hungary 2021,139552,9731025.0
234,Europe,Hungary 2022,55696,9688547.0
235,Europe,Iceland 2017,1631,338581.0
236,Europe,Iceland 2019,1428,357209.0
237,Europe,Iceland 2020,469,364340.0
238,Europe,Iceland 2021,1194,368998.0
239,Asia,India 2017,12727919,1346642460.0
240,Asia,India 2018,17589209,1361748899.0
241,Asia,India 2019,19495842,1376257714.0
242,Asia,India 2020,12726071,1389966387.0
243,Asia,India 2021,16261234,1402807867.0
244,Asia,India 2022,14146615,1412319817.0
245,Asia,Indonesia 2017,1782787,263203928.0
246,Asia,Indonesia 2018,2028305,265793777.0
247,Asia,Indonesia 2019,3528270,268339908.0
248,Asia,Indonesia 2020,4841497,270825848.0
249,Asia,Indonesia 2021,1195934,272890093.0
250,Asia,Indonesia 2022,623257,274616289.0
251,Europe,Ireland 2017,256469,4741657.0
252,Europe,Ireland 2018,206688,4802050.0
253,Europe,Ireland 2019,96491,4866964.0
254,Europe,Ireland 2020,98582,4925074.0
255,Europe,Ireland 2021,463450,4967164.0
256,Europe,Ireland 2022,653282,5005888.0
257,Asia,Israel 2017,66168,8235793.0
258,Asia,Israel 2018,25789,8382721.0
259,Asia,Israel 2019,60011,8530245.0
260,Asia,Israel 2020,87259,8685594.0
261,Asia,Israel 2021,47223,8829385.0
262,Asia,Israel 2022,48295,8970733.0
263,Europe,Italy 2017,1574286,60069179.0
264,Europe,Italy 2018,2277628,59938885.0
265,Europe,Italy 2019,5153513,59815966.0
266,Europe,Italy 2020,3333221,59639898.0
267,Europe,Italy 2021,3776329,59361259.0
268,Europe,Italy 2022,1912062,59119400.0
269,Americas,Jamaica 2018,971,2810597.0
270,Americas,Jamaica 2022,1210,2828991.0
271,Asia,Japan 2017,3403864,126853795.0
272,Asia,Japan 2018,3234324,126471149.0
273,Asia,Japan 2019,4246934,126040583.0
274,Asia,Japan 2020,5857460,125542770.0
275,Asia,Japan 2021,5078890,124946751.0
276,Asia,Japan 2022,1981042,124278310.0
277,Europe,Jersey 2022,478,110273.0
278,Asia,Jordan 2017,5492,10091322.0
279,Asia,Jordan 2018,1909,10339441.0
280,Asia,Jordan 2020,11906,10817077.0
281,Asia,Jordan 2021,34555,11040365.0
282,Asia,Jordan 2022,520,11256190.0
283,Africa,Kenya 2017,2137,48432355.0
284,Africa,Kenya 2018,2287,49463919.0
285,Africa,Kenya 2019,3990,50442689.0
286,Africa,Kenya 2020,532,51460211.0
287,Africa,Kenya 2021,2310,52511349.0
288,Africa,Kenya 2022,410925,53499879.0
289,Europe,Kosovo 2019,517,1698580.0
290,Asia,Kyrgyzstan 2017,3716,6070488.0
291,Asia,Kyrgyzstan 2019,1055,6274956.0
292,Asia,Kyrgyzstan 2020,2343,6372330.0
293,Asia,Kyrgyzstan 2021,11139,6477418.0
294,Asia,Kyrgyzstan 2022,7197,6578069.0
295,Europe,Latvia 2017,18008,1964331.0
296,Europe,Latvia 2018,1482,1945394.0
297,Europe,Latvia 2019,7928,1925867.0
298,Europe,Latvia 2020,5858,1907244.0
299,Europe,Latvia 2021,4787,1886860.0
300,Europe,Latvia 2022,2943,1860978.0
301,Asia,Lebanon 2017,3757,6186116.0
302,Asia,Lebanon 2018,8774,6032387.0
303,Asia,Lebanon 2019,1512,5869291.0
304,Asia,Lebanon 2020,2681,5694522.0
305,Africa,Liberia 2017,3537,4750867.0
306,Africa,Libya 2017,459,6327085.0
307,Europe,Lithuania 2017,101323,2918911.0
308,Europe,Lithuania 2018,4846,2889989.0
309,Europe,Lithuania 2019,36121,2862266.0
310,Europe,Lithuania 2020,29153,2835900.0
311,Europe,Lithuania 2021,15324,2804633.0
312,Europe,Lithuania 2022,4152,2768668.0
313,Europe,Luxembourg 2019,4298,613867.0
314,Europe,Luxembourg 2020,507,626079.0
315,Europe,Luxembourg 2021,3041,634720.0
316,Asia,Macau 2018,489,644696.0
317,Asia,Macau 2020,1311,670019.0
318,Asia,Macau 2022,574,690667.0
319,Africa,Madagascar 2020,466,27879131.0
320,Africa,Madagascar 2022,470,29260083.0
321,Africa,Malawi 2017,498,17640359.0
322,Asia,Malaysia 2017,71539,31757470.0
323,Asia,Malaysia 2018,162886,32194142.0
324,Asia,Malaysia 2019,219924,32604401.0
325,Asia,Malaysia 2020,185581,33003638.0
326,Asia,Malaysia 2021,5993454,33396348.0
327,Asia,Malaysia 2022,48791314,33751399.0
328,Asia,Maldives 2018,927,481390.0
329,Africa,Mali 2017,481,19002180.0
330,Europe,Malta 2017,4260,473496.0
331,Europe,Malta 2018,460,485498.0
332,Europe,Malta 2019,1394,497674.0
333,Europe,Malta 2020,463,509595.0
334,Oceania,Marshall Islands 2019,478,45376.0
335,Americas,Martinique 2017,3535,378760.0
336,Africa,Mauritius 2017,7381,1294316.0
337,Africa,Mauritius 2019,571,1295598.0
338,Africa,Mauritius 2021,1000,1298695.0
339,Africa,Mayotte 2020,473,300350.0
340,Americas,Mexico 2017,8844599,122210952.0
341,Americas,Mexico 2018,8422835,123467563.0
342,Americas,Mexico 2019,7105032,124560160.0
343,Americas,Mexico 2020,7517731,125610461.0
344,Americas,Mexico 2021,3990427,126386142.0
345,Americas,Mexico 2022,2701311,127024134.0
346,Europe,Moldova 2018,1735,3159716.0
347,Europe,Moldova 2019,487,3123958.0
348,Europe,Moldova 2020,9508,3095024.0
349,Europe,Moldova 2021,10494,3074670.0
350,Europe,Moldova 2022,4559,3048343.0
351,Europe,Monaco 2018,479,37023.0
352,Europe,Monaco 2021,461,36811.0
353,Europe,Monaco 2022,762,36561.0
354,Asia,Mongolia 2017,12295,3062473.0
355,Asia,Mongolia 2019,1058,3198396.0
356,Asia,Mongolia 2022,1493,3373358.0
357,Europe,Montenegro 2019,1086,630902.0
358,Europe,Montenegro 2020,693,629890.0
359,Europe,Montenegro 2021,503,628205.0
360,Europe,Montenegro 2022,725,627512.0
361,Africa,Morocco 2017,157631,35321179.0
362,Africa,Morocco 2018,244400,35735050.0
363,Africa,Morocco 2019,208025,36119972.0
364,Africa,Morocco 2020,114957,36488843.0
365,Africa,Morocco 2021,231404,36888700.0
366,Africa,Morocco 2022,423519,37264469.0
367,Africa,Mozambique 2017,9186,28141563.0
368,Africa,Mozambique 2018,552,28997319.0
369,Africa,Mozambique 2019,2145,29850438.0
370,Africa,Mozambique 2022,768,32518418.0
371,Oceania,Nauru 2017,3604,11564.0
372,Oceania,Nauru 2021,451,12414.0
373,Asia,Nepal 2020,2479,28999227.0
374,Asia,Nepal 2021,1199,29698028.0
375,Asia,Nepal 2022,7964,30371951.0
376,Europe,Netherlands 2017,215781,17166557.0
377,Europe,Netherlands 2018,178326,17247839.0
378,Europe,Netherlands 2019,373856,17324246.0
379,Europe,Netherlands 2020,283477,17402277.0
380,Europe,Netherlands 2021,721179,17466838.0
381,Europe,Netherlands 2022,556970,17536553.0
382,Oceania,New Zealand 2017,25634,4707023.0
383,Oceania,New Zealand 2018,4043,4785480.0
384,Oceania,New Zealand 2019,44391,4891572.0
385,Oceania,New Zealand 2020,21661,5026496.0
386,Oceania,New Zealand 2021,10387,5095771.0
387,Oceania,New Zealand 2022,24320,5163684.0
388,Africa,Nigeria 2017,14293,191044954.0
